15:50:42 [INFO] 	🚀 Запуск теста "test_prod_act_1"
16:04:05 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:04:05 [INFO] 	Переход в корзину
16:04:06 [INFO] 	Переход на страницу 'Оформление заказа: Данные пользователя'
16:04:06 [INFO] 	Заполнить все поля корректными данными, кроме поля 'Номер карты' - его оставить пустым.
16:04:06 [INFO] 	Нажать кнопку 'Оформить заказ'.
16:04:06 [INFO] 	Убедиться в наличии сообщения об ошибке.
16:04:06 [INFO] 	Присутствует сообщение об ошибке: 'Введите номер карты', так как поле 'Номер карты' оставлено пустым.
16:04:08 [INFO] 	Браузер chrome закрыт.
16:04:08 [INFO] 	✅ Тест "test_us_data_4" завершился успехом
16:04:08 [INFO] 	⌛ Продолжительность теста: 16.38 секунд
=================================== PASSED ===================================

16:04:08 [INFO] 	🚀 Запуск теста "test_us_data_5"
16:04:19 [INFO] 	Браузер chrome открыт.
16:04:20 [INFO] 	Вход в роли пользователя
16:04:22 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:04:22 [INFO] 	Переход в корзину
16:04:22 [INFO] 	Переход на страницу 'Оформление заказа: Данные пользователя'
16:04:22 [INFO] 	Заполнить все поля корректными данными, кроме поля 'Номер карты' - его заполнить нечисловым значением.
16:04:22 [INFO] 	Нажать кнопку 'Оформить заказ'.
16:04:23 [INFO] 	Убедиться в наличии сообщения об ошибке.
16:04:23 [ERROR] 	⚠️ AssertionError: Ошибка: Некорректная страница!
16:04:25 [INFO] 	Браузер chrome закрыт.
16:04:25 [ERROR] 	❌ Тест "test_us_data_5" завершился неудачно
16:04:25 [INFO] 	⌛ Продолжительность теста: 16.42 секунд
=================================== FAILED ===================================

